measure,time,time_type,Ethnicity,ethnicity_type,legislation_type,geography,geography_type,number_of_stop_and_searches,total_number_of_stop_and_search_carried_out_in_this_year_in_this_area_excluding_cases_where_the_ethnicity_was_unreported,population_by_ethnicity,rate_per_1_000_population_by_ethnicity,proportion_of_total_stop_and_searches_of_this_ethnicity_in_the_financial_year_excludes_unreported
Number of stops and searches carried out (excluding vehicle only searches),2019/20,Financial year,All,All,All,All - excluding BTP,Police Force Area,564198,466121,56075912,10.06132544,NA
Number of stops and searches carried out (excluding vehicle only searches),2020/21,Financial year,All,All,All,All - excluding BTP,Police Force Area,684348,555915,59597578,11.48282,NA
Number of stops and searches carried out (excluding vehicle only searches),2021/22,Financial year,All,All,All,All - excluding BTP,Police Force Area,505809,405946,59597578,8.487073,NA
Number of stops and searches carried out (excluding vehicle only searches),2022/23,Financial year,All,All,All,All - excluding BTP,Police Force Area,517367,412366,59597578,8.681007,NA
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All,All - excluding BTP,Police Force Area,1037735,932065,56075912,18.51,NA
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All,All - excluding BTP,Police Force Area,1214693,1125647,56075912,21.66,NA
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All,All - excluding BTP,Police Force Area,1495379,1409802,56075912,26.67,NA
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All,All - excluding BTP,Police Force Area,1345334,1284197,56075912,23.99,NA
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,All,All - excluding BTP,Police Force Area,1272799,1220198,56075912,22.7,NA
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,All,All,All,All - excluding BTP,Police Force Area,1171052,1121123,56075912,20.88,NA
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,All,All,All,All - excluding BTP,Police Force Area,999457,954314,56075912,17.82,NA
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,All,All,All,All - excluding BTP,Police Force Area,883808,841399,56075912,15.76,NA
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,All,All,All,All - excluding BTP,Police Force Area,528847,498721,56075912,9.43,NA
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,All,All,All,All - excluding BTP,Police Force Area,374651,342086,56075912,6.68,NA
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,All,All,All,All - excluding BTP,Police Force Area,296555,266308,56075912,5.29,NA
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,All,All,All,All - excluding BTP,Police Force Area,274594,243589,56075912,4.9,NA
